program to calculate the molecules that have jumped

program to calculate the jump time distribution

calculate XYZ_limit
Z_UP: 20.8211
Z_DOWN: 11.2711
X_UP: 69.4407
X_DOWN: 17.4407
Y_UP: 68.9517
Y_DOWN: 16.9517
total water:  7312

water calculate and id:        1    2800
program to calculate H Bond distribution during transition

2935    453680
2935    484428
2935    485948
2935    537628
2935    569508
2935    579988
2935    582088
2935    602468
2935    654808
2935    691508
2935    707748
2935    725928
2935    737868
2935    738768
2935    745308
2935    748808
2935    749508
2935    892148
2935    895408
2935    992528
2938    704648
2938    707408
2947    676168
2947    677688
2956    736508
2956    738948
2956    739308
2956    741848
2956    770628
2956    775188
2956    780868
2956    813308
2956    821928
2956    825488
2956    833308
2956    837168
2956    864348
2959    525888
2959    613408
2959    635128
2959    637548
2959    651468
2959    652248
2959    668228
2959    677808
2959    687628
2959    688428
2959    692828
2959    766528
2959    786208
2959    814768
2959    832568
2959    863788
2977    542128
2977    555288
2977    560168
2977    562168
2977    563288
2977    582368
2977    615428
2986    408160
2986    415020
2986    419620
2986    432220
2986    435360
2986    441540
2986    441720
2998    713548
program to calculate H Bond distribution during transition

2800    700888
2803    819608
2803    859688
2803    862848
2803    876148
2818    901308
2818    910908
2821    640948
2833    516328
2833    516728
2833    571048
2833    576748
2833    603768
2833    604728
2833    625528
2833    626148
2833    643008
2833    653688
2833    655428
2833    661308
2833    680528
2833    680768
2833    689408
2833    692168
2833    699388
2836    381200
2836    381680
2836    409800
2836    440400
2836    441520
2839    724368
2839    726648
2851    581528
2857    512068
2857    535408
2857    577268
2857    584648
2857    592908
2857    593128
2857    601648
2857    621428
2857    667208
2857    669988
2857    670208
2857    762328
2857    772628
2857    775568
2857    779728
2857    815728
2857    826508
2857    833468
2857    837448
2857    837988
2857    841848
2857    915608
2857    930248
2857    945728
2857    983448
2857    985228
2857    985648
2857    987548
2860    532268
2860    532568
2860    543028
2860    573308
2860    595668
2860    597688
2860    599408
2860    608408
2860    622488
2860    660388
2860    699948
2860    714848
2860    772768
2860    807968
2860    887608
2860    888468
2860    916248
2860    919828
2860    932628
2860    970488
2860    971848
2872    381120
2872    381580
2872    401140
2872    406540
2872    423660
2872    434360
2872    435640
2872    436260
2872    456140
2872    475820
2872    481268
2872    482828
2872    482988
2872    502308
2872    503828
2872    504088
2872    527788
2872    588068
2872    615148
2872    625528
2872    630088
2872    635568
2872    655628
2872    690268
2872    694028
2872    695128
2872    703568
2872    742948
2872    767228
2896    606868
2896    615528
2896    622708
2896    624008
2896    624568
2896    624888
2896    625488
2896    629288
2896    661088
2896    691108
2896    693828
2896    701368
2896    711968
2896    713288
2896    714448
2896    715348
2896    719768
2896    746468
2896    746968
2896    748288
2896    748788
2896    753208
2896    758768
2896    761868
2896    767668
2896    768048
2896    774808
2896    780548
2896    782808
2896    837648
2923    792468
2923    795328
2923    795648
2923    830548
2923    831428
2923    831948
2923    843948
2923    866328
2923    941188
2923    943808
2923    944988
2935    381780
2935    396120
2935    453680
2935    484428
2935    485948
2935    537628
2935    569508
2935    579988
2935    582088
2935    602468
2935    654808
2935    691508
2935    707748
2935    725928
2935    737868
2935    738768
2935    745308
2935    748808
2935    749508
2935    892148
2935    895408
2935    992528
2938    704648
2938    707408
2947    676168
2947    677688
2956    736508
2956    738948
2956    739308
2956    741848
2956    770628
2956    775188
2956    780868
2956    813308
2956    821928
2956    825488
2956    833308
2956    837168
2956    864348
2959    525888
2959    613408
2959    635128
2959    637548
2959    651468
2959    652248
2959    668228
2959    677808
2959    687628
2959    688428
2959    692828
2959    766528
2959    786208
2959    814768
2959    832568
2959    863788
2977    542128
2977    555288
2977    560168
2977    562168
2977    563288
2977    582368
2977    615428
2986    408160
2986    415020
2986    419620
2986    432220
2986    435360
2986    441540
2986    441720
